"","account_id","client_id","client_age","gender","name","region","no..of.inhabitants","no..of.municipalities.with.inhabitants...499","no..of.municipalities.with.inhabitants.500.1999","no..of.municipalities.with.inhabitants.2000.9999","no..of.municipalities.with.inhabitants..10000","no..of.cities","ratio.of.urban.inhabitants","average.salary","unemploymant.rate..95","unemploymant.rate..96","no..of.enterpreneurs.per.1000.inhabitants","no..of.commited.crimes..95","no..of.commited.crimes..96","frequency","account_age","date","amount","duration","payments","status","Avg_amount","balance"
"4364",9627,11851,46,"M","Znojmo","south Moravia",114200,101,41,4,1,4,43.7,8403,63,5.72,105,24,2718,"issuance after transaction",22,951122,244368,48,5091,1,17859.1270833333,75924.2409722222
"4368",9640,11866,79,"M","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,"monthly issuance",23,950111,76416,24,3184,1,6527.33725490196,31375.1607843137
"4369",9645,11873,53,"F","Louny","north Bohemia",85852,41,23,4,2,4,59.8,8965,70,8.23,104,34,2822,"monthly issuance",20,960606,176148,36,4893,1,17599.4384615385,47154.5
"4371",9656,11886,75,"F","Trebic","south Moravia",117897,139,28,5,1,6,53.8,8814,60,5.74,107,22,2059,"monthly issuance",23,950613,139536,24,5814,1,14454.3115151515,63889.8739393939
"4377",9731,11978,45,"M","Brno - mesto","south Moravia",387570,0,0,0,1,1,100,9897,14,1.96,140,17,18696,"issuance after transaction",22,951122,113796,36,3161,1,6453.25138888889,36840.5736111111
"4378",9750,12003,40,"M","Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,59,5.44,100,19,18347,"monthly issuance",22,950211,151728,48,3161,-1,8289.6649122807,30491.098245614
"4379",9790,12050,73,"M","Usti nad Orlici","east Bohemia",139012,59,41,8,3,10,61.9,8363,29,3.49,108,30,2799,"monthly issuance",21,960727,133968,48,2791,1,9939.87341772152,46772.3151898734
"4380",9814,12079,44,"F","Zlin","south Moravia",197099,29,41,10,2,10,74.7,9624,14,2.31,145,57,4265,"weekly issuance",21,960926,96168,12,8014,1,8240.56174496644,50492.688590604
"4382",9828,12095,77,"M","Pardubice","east Bohemia",162580,83,26,5,1,6,72.8,9538,13,1.81,111,68,5410,"monthly issuance",23,950413,126600,24,5275,1,11683.9878787879,47118.9931818182
"4383",9833,12102,48,"F","Tabor","south Bohemia",103347,87,16,7,1,7,67,9104,13,2.07,123,29,2354,"monthly issuance",23,940521,97632,12,8136,1,15218.4338461538,53379.1276923077
"4385",9869,12144,36,"M","Benesov","central Bohemia",88884,80,26,6,2,5,46.7,8507,16,1.85,132,25,2674,"monthly issuance",23,950315,331560,60,5526,1,7321.51932773109,36941.9983193277
"4387",9897,12181,55,"M","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,"monthly issuance",21,950922,36168,12,3014,1,6931.62222222222,39063.7666666667
"4388",9928,12220,45,"F","Prostejov","south Moravia",110643,49,41,4,1,4,51.9,8441,45,4.48,115,20,2252,"monthly issuance",21,960802,89340,60,1489,1,4646.67045454545,40005.4818181818
"4389",10001,12303,42,"F","Karlovy Vary","west Bohemia",122603,25,21,6,2,8,80,8991,11,2.01,128,62,5273,"monthly issuance",21,960711,19044,36,529,1,6600.44057971015,43121.7550724638
"4392",10019,12325,52,"M","Mlada Boleslav","central Bohemia",112065,95,19,7,1,8,69.4,11277,9,1.44,127,61,4987,"monthly issuance",21,960925,194940,36,5415,1,12668.3175824176,56669.7879120879
"4399",10079,12396,46,"F","Uherske Hradiste","south Moravia",145688,22,41,13,2,5,40.7,8544,10,1.86,109,35,2906,"monthly issuance",23,940406,167100,60,2785,1,14332.4075949367,63707.6265822785
"4400",10093,12416,43,"M","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,"weekly issuance",22,951020,231696,36,6436,1,10683.3722222222,45873.6166666667
"4401",10105,12432,51,"M","Brno - venkov","south Moravia",157042,49,70,18,0,9,33.9,8743,20,2.43,111,46,3894,"monthly issuance",23,940827,121896,24,5079,1,13230.3440860215,54422.5967741935
"4402",10131,12464,57,"M","Most","north Bohemia",119895,17,4,3,2,4,89.9,10446,71,9.4,90,59,4743,"monthly issuance",23,940502,215388,36,5983,-1,6110.86,32702.7266666667
"4413",10266,12625,58,"M","Brno - mesto","south Moravia",387570,0,0,0,1,1,100,9897,14,1.96,140,17,18696,"monthly issuance",23,931223,75624,24,3151,-1,13406.7391304348,50009.9086956522
"4415",10297,12662,63,"M","Ceske Budejovice","south Bohemia",177686,69,27,10,1,9,74.8,10045,12,1.71,135,70,6295,"monthly issuance",20,961118,421008,48,8771,1,8521.962,37436.422
"4416",10320,12695,37,"M","Frydek - Mistek","north Moravia",228848,15,40,18,2,6,57.2,9893,54,4.72,96,65,5887,"monthly issuance",23,931213,259740,60,4329,1,13038.0882352941,45198.1529411765
"4421",10364,12754,56,"M","Brno - venkov","south Moravia",157042,49,70,18,0,9,33.9,8743,20,2.43,111,46,3894,"monthly issuance",23,931110,21924,36,609,1,5957.54444444444,34272.2133333333
"4424",10411,12810,52,"M","Most","north Bohemia",119895,17,4,3,2,4,89.9,10446,71,9.4,90,59,4743,"issuance after transaction",21,961211,123408,24,5142,1,5789.86461538462,28359.2553846154
"4425",10436,12840,77,"M","Prostejov","south Moravia",110643,49,41,4,1,4,51.9,8441,45,4.48,115,20,2252,"monthly issuance",20,960928,54396,36,1511,1,3853.82608695652,30293.7086956522
"4426",10439,12843,63,"M","Zdar nad Sazavou","south Moravia",125832,151,41,2,3,5,48.3,8512,46,4.12,102,28,2103,"monthly issuance",23,940603,151560,24,6315,1,16935.5535714286,53976.2928571429
"4427",10440,12844,70,"M","Jicin","east Bohemia",77917,85,19,6,1,5,53.5,8390,24,2.89,132,21,2122,"monthly issuance",23,950703,60000,60,1000,1,2567.84452554745,24643.2839416058
"4429",10451,12859,40,"F","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,"monthly issuance",23,941219,482940,60,8049,-1,4060.68076923077,26358.7546153846
"4432",10520,12943,46,"M","Brno - venkov","south Moravia",157042,49,70,18,0,9,33.9,8743,20,2.43,111,46,3894,"issuance after transaction",21,961205,417600,60,6960,1,8159.97058823529,43196.7441176471
"4437",10630,13071,60,"M","Usti nad Labem","north Bohemia",118650,8,8,5,1,3,85.6,9832,41,4.48,114,69,5471,"monthly issuance",21,950624,198240,24,8260,1,7546.8875,30953.14375
"4443",10663,13113,40,"M","Praha - zapad","central Bohemia",75637,35,36,9,0,7,36.5,9622,3,0.59,154,44,3529,"monthly issuance",23,951028,260028,36,7223,1,12514.3571428571,50676.8198757764
"4449",10728,13190,60,"M","Novy Jicin","north Moravia",161227,5,35,11,4,10,69.7,8678,66,5.57,102,60,4595,"monthly issuance",22,960321,154656,48,3222,1,6653.89550561798,31791.3280898876
"4450",10738,13201,79,"M","Tachov","west Bohemia",51313,34,12,3,1,4,59.2,8930,47,4.2,108,5,1452,"weekly issuance",23,941221,115992,36,3222,1,6214.37401574803,25666.4070866142
"4451",10762,13231,57,"M","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,"monthly issuance",21,960917,68832,36,1912,1,7828.98113207547,37557.0547169811
"4453",10788,13260,39,"F","Olomouc","north Moravia",226122,32,50,7,4,4,62.6,8994,50,4.79,110,74,9208,"weekly issuance",23,940823,45768,12,3814,1,5645.46666666667,32555.8185185185
"4459",10884,13380,74,"M","Znojmo","south Moravia",114200,101,41,4,1,4,43.7,8403,63,5.72,105,24,2718,"monthly issuance",21,960213,113544,36,3154,1,6453.48309859155,33990.4197183099
"4463",10911,13412,62,"M","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,"weekly issuance",23,940728,131292,36,3647,1,7915.58313253012,36635.1156626506
"4465",10940,13447,46,"F","Rakovnik","central Bohemia",53921,61,22,1,1,2,41.3,8598,33,3.26,123,9,1875,"monthly issuance",23,940223,197748,36,5493,1,14293.4125,44735.43125
"4466",10942,13451,61,"F","Chrudim","east Bohemia",105606,77,26,7,2,7,53,8254,34,3.76,97,26,2325,"weekly issuance",22,951002,314520,60,5242,1,15168.3623076923,63527.42
"4468",10963,13480,63,"M","Jindrichuv Hradec","south Bohemia",93931,74,21,10,1,8,56.9,8427,8,1.54,107,18,1913,"monthly issuance",21,961225,115812,36,3217,1,13280.0846774194,56646.5161290323
"4469",10973,13490,47,"F","Pisek","south Bohemia",70699,60,13,2,1,4,65.3,8968,37,3.35,131,13,1910,"weekly issuance",23,931013,154416,48,3217,1,9740.15,46715.8
"4470",11013,13539,38,"M","Vyskov","south Moravia",86513,38,36,5,1,5,50.5,8288,49,4.52,110,6,1460,"weekly issuance",23,930906,274740,60,4579,1,18945.9666666667,57188.2111111111
"4471",11021,13548,40,"M","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,"monthly issuance",23,950304,168984,24,7041,-1,11357.386875,56053.9975
"4473",11042,13576,42,"M","Olomouc","north Moravia",226122,32,50,7,4,4,62.6,8994,50,4.79,110,74,9208,"monthly issuance",21,951204,217152,36,6032,1,12666.7824561404,49107.0666666667
"4475",11054,13590,39,"M","Kromeriz","south Moravia",108871,41,29,7,2,6,62.1,8444,40,3.47,106,31,2305,"weekly issuance",20,960820,148920,60,2482,1,7832.08387096774,32435.3193548387
"4476",11065,13603,75,"M","Nachod","east Bohemia",112709,48,20,7,3,10,73.5,8369,19,2.31,117,37,2618,"monthly issuance",23,940612,69360,48,1445,1,4748.16794871795,33857.1064102564
"4480",11111,13657,53,"F","Kromeriz","south Moravia",108871,41,29,7,2,6,62.1,8444,40,3.47,106,31,2305,"monthly issuance",23,940131,108144,36,3004,1,13671.4290909091,54652.8981818182
"4482",11135,13687,57,"M","Prerov","north Moravia",138032,67,30,4,2,5,64.6,8819,62,5.66,99,51,4505,"monthly issuance",23,940301,182628,36,5073,1,8281.60769230769,33229.1076923077
"4483",11138,13690,53,"M","Karvina","north Moravia",285387,0,2,8,5,7,89.9,10177,69,7.75,81,75,10108,"weekly issuance",21,960119,89880,24,3745,1,13517.224137931,62571.2827586207
"4485",11186,13750,36,"F","Pribram","central Bohemia",107870,84,29,6,1,6,58,8754,51,4.31,137,49,3868,"monthly issuance",22,961002,392460,60,6541,1,12882.5230769231,57131.7405594406
"4488",11265,13845,43,"M","Cesky Krumlov","south Bohemia",58796,22,16,7,1,5,51.9,9045,39,3.6,124,15,1879,"monthly issuance",23,930915,52788,12,4399,1,3714.8976744186,22198.1790697674
"4497",11349,13955,71,"F","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,"weekly issuance",21,951029,419880,60,6998,1,24426.4722222222,59352.8333333333
"4498",11359,13968,48,"M","Trebic","south Moravia",117897,139,28,5,1,6,53.8,8814,60,5.74,107,22,2059,"monthly issuance",22,960806,54024,12,4502,1,8708.72244897959,36480.1850340136
"4499",11362,13971,54,"F","Bruntal","north Moravia",106054,38,25,6,2,6,63.1,8110,65,6.55,109,41,3079,"monthly issuance",21,961227,129408,24,5392,1,4550.30280373832,30869.7813084112
